Source,Target,Type,Id,Label,Weight
ANAKIN,BAIL ORGANA,Undirected,0,,2
ANAKIN,C-3PO,Undirected,1,,4
ANAKIN,CAPTAIN TYPHO,Undirected,2,,1
ANAKIN,CLONE COMMANDER CODY,Undirected,3,,1
ANAKIN,COUNT DOOKU,Undirected,4,,1
ANAKIN,EMPEROR,Undirected,5,,14
ANAKIN,GENERAL GRIEVOUS,Undirected,6,,1
ANAKIN,JAR JAR,Undirected,7,,1
ANAKIN,MACE WINDU,Undirected,8,,5
ANAKIN,OBI-WAN,Undirected,9,,28
ANAKIN,ODD BALL,Undirected,10,,2
ANAKIN,PADME,Undirected,11,,9
ANAKIN,R2-D2,Undirected,12,,9
ANAKIN,YODA,Undirected,13,,5
BAIL ORGANA,C-3PO,Undirected,14,,3
BAIL ORGANA,CAPTAIN ANTILLES,Undirected,15,,2
BAIL ORGANA,EMPEROR,Undirected,16,,3
BAIL ORGANA,FANG ZAR,Undirected,17,,2
BAIL ORGANA,GIDDEAN DANU,Undirected,18,,1
BAIL ORGANA,MON MOTHMA,Undirected,19,,2
BAIL ORGANA,OBI-WAN,Undirected,20,,7
BAIL ORGANA,PADME,Undirected,21,,5
BAIL ORGANA,QUI-GON,Undirected,22,,1
BAIL ORGANA,R2-D2,Undirected,23,,4
BAIL ORGANA,YODA,Undirected,24,,6
C-3PO,CAPTAIN ANTILLES,Undirected,25,,1
C-3PO,CAPTAIN TYPHO,Undirected,26,,2
C-3PO,EMPEROR,Undirected,27,,2
C-3PO,OBI-WAN,Undirected,28,,3
C-3PO,PADME,Undirected,29,,5
C-3PO,R2-D2,Undirected,30,,5
C-3PO,YODA,Undirected,31,,1
CAPTAIN TYPHO,PADME,Undirected,32,,2
CLONE COMMANDER CODY,MACE WINDU,Undirected,33,,1
CLONE COMMANDER CODY,OBI-WAN,Undirected,34,,2
CLONE COMMANDER CODY,YODA,Undirected,35,,1
COUNT DOOKU,EMPEROR,Undirected,36,,1
COUNT DOOKU,OBI-WAN,Undirected,37,,1
EMPEROR,DARTH VADER,Undirected,38,,1
EMPEROR,JAR JAR,Undirected,39,,1
EMPEROR,MACE WINDU,Undirected,40,,1
EMPEROR,NUTE GUNRAY,Undirected,41,,1
EMPEROR,OBI-WAN,Undirected,42,,4
EMPEROR,PADME,Undirected,43,,4
EMPEROR,R2-D2,Undirected,44,,2
GENERAL GRIEVOUS,NUTE GUNRAY,Undirected,45,,1
GENERAL GRIEVOUS,OBI-WAN,Undirected,46,,2
MACE WINDU,OBI-WAN,Undirected,47,,3
MACE WINDU,YODA,Undirected,48,,4
OBI-WAN,ODD BALL,Undirected,49,,2
OBI-WAN,PADME,Undirected,50,,6
OBI-WAN,R2-D2,Undirected,51,,12
OBI-WAN,TION MEDON,Undirected,52,,1
OBI-WAN,YODA,Undirected,53,,11
PADME,FANG ZAR,Undirected,54,,2
PADME,GIDDEAN DANU,Undirected,55,,1
PADME,MON MOTHMA,Undirected,56,,2
PADME,R2-D2,Undirected,57,,4
R2-D2,CAPTAIN ANTILLES,Undirected,58,,1
R2-D2,YODA,Undirected,59,,1
YODA,CLONE COMMANDER GREE,Undirected,60,,1
YODA,QUI-GON,Undirected,61,,1
FANG ZAR,GIDDEAN DANU,Undirected,62,,1
FANG ZAR,MON MOTHMA,Undirected,63,,2
GIDDEAN DANU,MON MOTHMA,Undirected,64,,1
