Source,Target,Type,Id,Label,Weight
ANAKIN,RIC OLIE,Undirected,136,,4
ANAKIN,RUWEE,Undirected,137,,3
ANAKIN,SEBULBA,Undirected,138,,2
ANAKIN,SHMI,Undirected,139,,8
ANAKIN,SIO BIBBLE,Undirected,140,,1
ANAKIN,SOLA,Undirected,141,,1
ANAKIN,SUN RIT,Undirected,142,,1
ANAKIN,WALD,Undirected,143,,2
ANAKIN,WATTO,Undirected,144,,5
ANAKIN,YODA,Undirected,145,,9
BAIL ORGANA,CAPTAIN ANTILLES,Undirected,146,,2
BAIL ORGANA,EMPEROR,Undirected,147,,6
BAIL ORGANA,FANG ZAR,Undirected,148,,2
BAIL ORGANA,GIDDEAN DANU,Undirected,149,,1
BAIL ORGANA,JAR JAR,Undirected,150,,1
BAIL ORGANA,KI-ADI-MUNDI,Undirected,151,,1
BAIL ORGANA,MACE WINDU,Undirected,152,,2
BAIL ORGANA,OBI-WAN,Undirected,153,,8
BAIL ORGANA,PADME,Undirected,154,,5
BAIL ORGANA,QUI-GON,Undirected,155,,1
BAIL ORGANA,R2-D2,Undirected,156,,4
BAIL ORGANA,SENATOR ASK AAK,Undirected,157,,1
BAIL ORGANA,VALORUM,Undirected,158,,1
BAIL ORGANA,YODA,Undirected,159,,8
BERU,CLIEGG,Undirected,160,,1
BERU,OWEN,Undirected,161,,4
BERU,PADME,Undirected,162,,1
BERU,R2-D2,Undirected,163,,1
BOSS NASS,CAPTAIN PANAKA,Undirected,164,,1
BOSS NASS,JAR JAR,Undirected,165,,2
BOSS NASS,OBI-WAN,Undirected,166,,2
BOSS NASS,PADME,Undirected,167,,2
BOSS NASS,QUI-GON,Undirected,168,,2
BRAVO THREE,BRAVO TWO,Undirected,169,,2
BRAVO THREE,RIC OLIE,Undirected,170,,2
BRAVO TWO,RIC OLIE,Undirected,171,,4
CAPTAIN PANAKA,EMPEROR,Undirected,172,,3
CAPTAIN PANAKA,JAR JAR,Undirected,173,,7
CAPTAIN PANAKA,OBI-WAN,Undirected,174,,7
CAPTAIN PANAKA,PADME,Undirected,175,,7
CAPTAIN PANAKA,QUI-GON,Undirected,176,,9
CAPTAIN PANAKA,RIC OLIE,Undirected,177,,2
CAPTAIN PANAKA,SIO BIBBLE,Undirected,178,,3
CAPTAIN TYPHO,JAR JAR,Undirected,179,,1
CAPTAIN TYPHO,OBI-WAN,Undirected,180,,2
CAPTAIN TYPHO,PADME,Undirected,181,,2
CLIEGG,OWEN,Undirected,182,,2
CLIEGG,PADME,Undirected,183,,2
CLONE COMMANDER CODY,MACE WINDU,Undirected,184,,1
CLONE COMMANDER CODY,OBI-WAN,Undirected,185,,2
CLONE COMMANDER CODY,YODA,Undirected,186,,1
COUNT DOOKU,EMPEROR,Undirected,187,,2
COUNT DOOKU,JANGO FETT,Undirected,188,,1
COUNT DOOKU,MACE WINDU,Undirected,189,,2
COUNT DOOKU,NUTE GUNRAY,Undirected,190,,1
COUNT DOOKU,OBI-WAN,Undirected,191,,3
COUNT DOOKU,PADME,Undirected,192,,3
COUNT DOOKU,POGGLE,Undirected,193,,1
COUNT DOOKU,SUN RIT,Undirected,194,,1
COUNT DOOKU,YODA,Undirected,195,,2
DARTH VADER,BOBA FETT,Undirected,196,,3
DARTH VADER,CHEWBACCA,Undirected,197,,1
DARTH VADER,EMPEROR,Undirected,198,,7
DARTH VADER,JERJERROD,Undirected,199,,1
DARTH VADER,MOTTI,Undirected,200,,1
DARTH VADER,NEEDA,Undirected,201,,1
DARTH VADER,OBI-WAN,Undirected,202,,1
DARTH VADER,OZZEL,Undirected,203,,2
DARTH VADER,PIETT,Undirected,204,,8
DARTH VADER,TARKIN,Undirected,205,,7
EMPEROR,DARTH MAUL,Undirected,206,,3
EMPEROR,GENERAL CEEL,Undirected,207,,1
EMPEROR,JAR JAR,Undirected,208,,5
EMPEROR,KI-ADI-MUNDI,Undirected,209,,1
EMPEROR,MACE WINDU,Undirected,210,,3
EMPEROR,NUTE GUNRAY,Undirected,211,,6
EMPEROR,OBI-WAN,Undirected,212,,5
EMPEROR,ORN FREE TAA,Undirected,213,,2
EMPEROR,PADME,Undirected,214,,5
EMPEROR,QUI-GON,Undirected,215,,1
EMPEROR,R2-D2,Undirected,216,,2
EMPEROR,RUNE,Undirected,217,,3
EMPEROR,SENATOR ASK AAK,Undirected,218,,2
EMPEROR,SIO BIBBLE,Undirected,219,,1
EMPEROR,VALORUM,Undirected,220,,2
EMPEROR,YODA,Undirected,221,,2
GENERAL GRIEVOUS,NUTE GUNRAY,Undirected,222,,1
GENERAL GRIEVOUS,OBI-WAN,Undirected,223,,2
GREEDO,QUI-GON,Undirected,224,,1
GREEDO,WALD,Undirected,225,,1
JABBA,BIB FORTUNA,Undirected,226,,1
JABBA,BOUSHH,Undirected,227,,1
JABBA,FODE/BEED,Undirected,228,,1
JABBA,JAR JAR,Undirected,229,,1
JABBA,PADME,Undirected,230,,1
JABBA,QUI-GON,Undirected,231,,1
JABBA,R2-D2,Undirected,232,,2
JABBA,SEBULBA,Undirected,233,,1
JABBA,SHMI,Undirected,234,,1
JAR JAR,FODE/BEED,Undirected,235,,2
JAR JAR,GENERAL CEEL,Undirected,236,,1
JAR JAR,KITSTER,Undirected,237,,1
JAR JAR,MACE WINDU,Undirected,238,,1
JAR JAR,OBI-WAN,Undirected,239,,15
JAR JAR,ORN FREE TAA,Undirected,240,,1
JAR JAR,PADME,Undirected,241,,10
JAR JAR,QUI-GON,Undirected,242,,22
JAR JAR,RIC OLIE,Undirected,243,,1
JAR JAR,SEBULBA,Undirected,244,,2
JAR JAR,SENATOR ASK AAK,Undirected,245,,1
JAR JAR,SHMI,Undirected,246,,3
JAR JAR,SIO BIBBLE,Undirected,247,,1
JAR JAR,TARPALS,Undirected,248,,2
JAR JAR,VALORUM,Undirected,249,,1
JAR JAR,WALD,Undirected,250,,1
JAR JAR,YODA,Undirected,251,,1
JIRA,PADME,Undirected,252,,1
JIRA,QUI-GON,Undirected,253,,2
JOBAL,PADME,Undirected,254,,1
JOBAL,RUWEE,Undirected,255,,1
JOBAL,SOLA,Undirected,256,,2
KI-ADI-MUNDI,MACE WINDU,Undirected,257,,4
KI-ADI-MUNDI,OBI-WAN,Undirected,258,,1
KI-ADI-MUNDI,PLO KOON,Undirected,259,,1
KI-ADI-MUNDI,QUI-GON,Undirected,260,,2
KI-ADI-MUNDI,RABE,Undirected,261,,1
KI-ADI-MUNDI,YODA,Undirected,262,,4
KITSTER,PADME,Undirected,263,,1
KITSTER,QUI-GON,Undirected,264,,2
KITSTER,R2-D2,Undirected,265,,2
KITSTER,SHMI,Undirected,266,,1
KITSTER,WALD,Undirected,267,,1
KITSTER,WATTO,Undirected,268,,1
MACE WINDU,OBI-WAN,Undirected,269,,9
MACE WINDU,PADME,Undirected,270,,2
MACE WINDU,QUI-GON,Undirected,271,,2
MACE WINDU,RABE,Undirected,272,,1
MACE WINDU,SENATOR ASK AAK,Undirected,273,,1
MACE WINDU,YODA,Undirected,274,,16
NUTE GUNRAY,DARTH MAUL,Undirected,275,,3
NUTE GUNRAY,DOFINE,Undirected,276,,1
NUTE GUNRAY,GENERAL CEEL,Undirected,277,,1
NUTE GUNRAY,OBI-WAN,Undirected,278,,1
NUTE GUNRAY,PADME,Undirected,279,,2
NUTE GUNRAY,POGGLE,Undirected,280,,2
NUTE GUNRAY,QUI-GON,Undirected,281,,1
NUTE GUNRAY,RUNE,Undirected,282,,8
NUTE GUNRAY,SIO BIBBLE,Undirected,283,,2
NUTE GUNRAY,SUN RIT,Undirected,284,,2
NUTE GUNRAY,TC-14,Undirected,285,,1
NUTE GUNRAY,TEY HOW,Undirected,286,,1
OBI-WAN,BOBA FETT,Undirected,287,,1
OBI-WAN,CHEWBACCA,Undirected,288,,4
OBI-WAN,JANGO FETT,Undirected,289,,1
OBI-WAN,LAMA SU,Undirected,290,,6
OBI-WAN,ODD BALL,Undirected,291,,2
OBI-WAN,PADME,Undirected,292,,9
OBI-WAN,PK-4,Undirected,293,,1
OBI-WAN,POGGLE,Undirected,294,,1
OBI-WAN,QUI-GON,Undirected,295,,26
OBI-WAN,R2-D2,Undirected,296,,16
OBI-WAN,RIC OLIE,Undirected,297,,3
OBI-WAN,SENATOR ASK AAK,Undirected,298,,1
OBI-WAN,SHMI,Undirected,299,,1
OBI-WAN,SIO BIBBLE,Undirected,300,,1
OBI-WAN,SUN RIT,Undirected,301,,1
OBI-WAN,TAUN WE,Undirected,302,,5
OBI-WAN,TC-14,Undirected,303,,1
OBI-WAN,TION MEDON,Undirected,304,,1
OBI-WAN,YODA,Undirected,305,,20
OWEN,PADME,Undirected,306,,4
OWEN,R2-D2,Undirected,307,,1
PADME,FANG ZAR,Undirected,308,,2
PADME,FODE/BEED,Undirected,309,,1
PADME,GIDDEAN DANU,Undirected,310,,1
PADME,POGGLE,Undirected,311,,1
PADME,QUI-GON,Undirected,312,,16
PADME,R2-D2,Undirected,313,,22
PADME,RUWEE,Undirected,314,,1
PADME,SEBULBA,Undirected,315,,2
PADME,SHMI,Undirected,316,,5
PADME,SIO BIBBLE,Undirected,317,,1
PADME,SOLA,Undirected,318,,1
PADME,SUN RIT,Undirected,319,,1
